epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9794,2.37037,5.74127,1.39514,0.00152,0.23958,0.00094,0.00056,1.67666,4.92155,1.12969,0.00018577,0.00018577,0.00018577
2,132.5,1.89242,4.13411,1.14235,0.00411,0.5625,0.00407,0.00244,1.37374,4.43364,1.00192,0.000378191,0.000378191,0.000378191
3,196.854,1.61191,2.98578,1.07208,0.00034,0.04167,0.00019,0.00012,1.20922,4.55151,0.96739,0.000562689,0.000562689,0.000562689
4,260.567,1.45158,2.35803,1.01819,0.00053,0.0625,0.0003,0.00024,1.24606,4.48207,0.98603,0.000739265,0.000739265,0.000739265
5,327.25,1.44464,2.03434,1.00434,0.00052,0.0625,0.02277,0.0188,1.14899,4.29191,0.94766,0.000907918,0.000907918,0.000907918
6,392.531,1.33368,1.86631,0.96804,0.00283,0.52083,0.29657,0.16422,1.10794,3.72771,0.9157,0.00106865,0.00106865,0.00106865
7,457.887,1.36229,1.74363,0.97439,0.56252,0.36661,0.39572,0.23529,1.20005,3.45859,0.95324,0.00122146,0.00122146,0.00122146
8,522.41,1.21433,1.59915,0.95535,0.93298,0.57498,0.79956,0.52811,1.11403,2.40759,0.91679,0.00123094,0.00123094,0.00123094
9,587.339,1.2097,1.41242,0.95414,0.86354,0.74196,0.85795,0.57206,1.12375,1.9309,0.9244,0.00120265,0.00120265,0.00120265
10,651.933,1.23309,1.39869,0.95661,0.90881,0.73721,0.87711,0.59178,1.13071,1.69757,0.92444,0.00117435,0.00117435,0.00117435
11,717.097,1.1792,1.3044,0.92876,0.97292,0.71335,0.87515,0.584,1.06417,1.73543,0.90544,0.00114606,0.00114606,0.00114606
12,782.064,1.16026,1.31936,0.95533,0.97603,0.84525,0.92817,0.57244,1.05594,1.35434,0.90669,0.00111776,0.00111776,0.00111776
13,849.811,1.12983,1.15493,0.92508,0.9879,0.89685,0.94655,0.59796,1.07651,1.27416,0.9072,0.00108947,0.00108947,0.00108947
14,918.46,1.09364,1.14635,0.91564,0.97266,0.83302,0.88385,0.53739,1.12426,1.29697,0.91794,0.00106118,0.00106118,0.00106118
15,987.427,1.04386,1.0708,0.9134,0.99708,0.91528,0.97957,0.62126,1.02287,1.06913,0.88427,0.00103288,0.00103288,0.00103288
16,1056.55,1.05239,1.00481,0.9154,0.98904,0.90628,0.96415,0.66001,0.95682,1.05984,0.86496,0.00100459,0.00100459,0.00100459
17,1125.41,1.0054,0.98821,0.88584,0.98098,0.8737,0.95333,0.67138,0.91345,0.97384,0.86252,0.000976293,0.000976293,0.000976293
18,1193.79,0.89955,1.38943,0.84007,0.94423,0.93361,0.98411,0.6666,0.92587,0.8269,0.85503,0.000947999,0.000947999,0.000947999
19,1262.94,0.95742,0.89163,0.89445,0.98932,0.98821,0.99118,0.70313,0.92369,0.81637,0.84831,0.000919704,0.000919704,0.000919704
20,1332.28,0.98657,0.884,0.87568,0.96859,0.93915,0.98378,0.66631,0.98329,0.78738,0.86762,0.00089141,0.00089141,0.00089141
21,1401.64,1.06473,0.92258,0.90674,0.98769,0.87267,0.95296,0.6768,0.88916,0.88733,0.83773,0.000863116,0.000863116,0.000863116
22,1470.71,0.91569,0.82905,0.88332,0.94479,0.9036,0.96323,0.65562,0.90301,0.78433,0.84143,0.000834822,0.000834822,0.000834822
23,1539.59,0.93327,0.8288,0.86669,0.96937,0.95395,0.98594,0.66719,1.02446,0.87447,0.87645,0.000806528,0.000806528,0.000806528
24,1608.72,0.99011,0.86678,0.892,0.97741,0.98869,0.99344,0.67591,0.9487,0.72405,0.86056,0.000778233,0.000778233,0.000778233
25,1677.3,0.92221,0.8306,0.89105,0.97827,0.97952,0.99418,0.68402,0.98688,0.77095,0.87656,0.000749939,0.000749939,0.000749939
26,1745.66,0.90575,0.80238,0.87788,0.98538,0.9446,0.98826,0.66385,0.92505,0.69709,0.85217,0.000721645,0.000721645,0.000721645
27,1814.2,0.93401,0.75109,0.8748,0.98972,0.95262,0.99151,0.70146,0.9201,0.72284,0.85922,0.000693351,0.000693351,0.000693351
28,1883.11,0.92148,0.75125,0.86932,0.98752,0.94045,0.98867,0.65458,0.94159,0.6809,0.86444,0.000665057,0.000665057,0.000665057
29,1952.03,0.88557,0.71936,0.86121,0.98503,0.99657,0.99459,0.68856,0.9319,0.62214,0.87175,0.000636762,0.000636762,0.000636762
