epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.5424,2.29541,8.89611,1.53112,0,0,0,0,3.23914,5.19751,2.48326,6.666e-05,6.666e-05,6.666e-05
2,2.2299,2.58948,6.96701,1.68082,0,0,0,0,2.7923,5.0725,2.12179,0.000143715,0.000143715,0.000143715
3,2.92728,1.82728,5.63904,1.26792,0,0,0,0,2.67512,4.8059,1.96633,0.00022,0.00022,0.00022
4,3.59854,1.82378,4.86984,1.17393,0,0,0,0,2.69859,4.71224,1.99393,0.000295515,0.000295515,0.000295515
5,4.37383,1.63903,4.16723,1.06919,0.00442,0.28571,0.14418,0.10351,2.66037,4.45655,1.91836,0.000370261,0.000370261,0.000370261
6,5.04074,1.59336,3.35082,1.07219,0.00765,0.42857,0.03028,0.02333,2.0896,4.36528,1.69375,0.000444236,0.000444236,0.000444236
7,5.70203,1.45169,2.91868,1.07825,0.01088,0.62857,0.03137,0.02132,2.20755,4.39801,1.57528,0.000517442,0.000517442,0.000517442
8,6.3356,1.32902,2.54881,1.02117,0.00828,0.48571,0.00758,0.00451,2.01308,4.72831,1.546,0.000589877,0.000589877,0.000589877
9,6.97854,1.26869,2.38021,1.03141,0.00491,0.31429,0.0143,0.00812,2.10405,4.5931,1.57593,0.000661543,0.000661543,0.000661543
10,7.61073,1.29093,2.14967,0.98107,0.0079,0.54286,0.05656,0.03602,1.81534,4.38518,1.35362,0.000732438,0.000732438,0.000732438
11,8.25371,1.38764,2.31765,1.04484,0.00899,0.62857,0.35366,0.23218,1.48507,4.22109,1.33296,0.000802564,0.000802564,0.000802564
12,8.92962,1.28422,2.2163,1.0039,0.00706,0.51429,0.38137,0.24496,1.55017,4.27343,1.42865,0.00087192,0.00087192,0.00087192
13,9.58918,1.20512,1.86892,0.97018,0.00835,0.57143,0.22383,0.16725,1.85293,4.13672,1.4472,0.000940506,0.000940506,0.000940506
14,10.2296,1.17667,1.99793,0.98099,0.00817,0.54286,0.20502,0.1463,1.86351,4.21803,1.50539,0.00100832,0.00100832,0.00100832
15,10.8652,1.12012,1.92688,0.92845,0.18224,0.19119,0.13902,0.10493,1.72487,3.91505,1.38553,0.00103401,0.00103401,0.00103401
16,11.5032,1.19315,1.97673,0.97963,0.86484,0.28571,0.50381,0.37058,1.61609,3.29473,1.3067,0.00102851,0.00102851,0.00102851
17,12.1541,1.14717,1.8011,0.97754,1,0.33646,0.74651,0.54581,1.59495,3.21816,1.2898,0.00102301,0.00102301,0.00102301
18,12.8186,1.21171,2.1999,0.98454,0.95168,0.56305,0.83453,0.58088,1.51785,2.9969,1.27809,0.00101751,0.00101751,0.00101751
19,13.4796,1.24526,1.95669,1.0036,0.92036,0.66052,0.86623,0.60301,1.43409,2.40776,1.23991,0.00101201,0.00101201,0.00101201
20,14.1335,1.18223,1.81101,0.99654,1,0.48485,0.85733,0.60598,1.49449,2.62056,1.19037,0.00100651,0.00100651,0.00100651
21,14.7952,1.05342,1.59591,0.95684,1,0.48127,0.85695,0.61994,1.56091,2.70577,1.19373,0.00100101,0.00100101,0.00100101
22,15.466,1.10435,1.63782,0.979,1,0.53089,0.84654,0.53021,1.93786,2.59326,1.339,0.000995512,0.000995512,0.000995512
23,16.1087,1.13982,2.06052,1.03696,1,0.56623,0.78957,0.5353,1.63841,2.41835,1.26732,0.000990012,0.000990012,0.000990012
24,16.7549,1.12428,1.58919,1.07284,0.92429,0.69793,0.81858,0.54209,1.44029,1.75949,1.1896,0.000984513,0.000984513,0.000984513
25,17.3826,1.1206,1.62962,0.94341,0.92664,0.74286,0.83866,0.51349,1.71894,1.82499,1.29833,0.000979013,0.000979013,0.000979013
26,18.0337,1.03865,1.55671,0.93673,0.92888,0.74639,0.85394,0.57483,1.89827,1.91418,1.34981,0.000973514,0.000973514,0.000973514
27,18.6784,0.95665,1.39003,0.89588,0.91126,0.88028,0.91499,0.63024,1.3045,1.32364,1.15397,0.000968014,0.000968014,0.000968014
28,19.3548,0.93838,1.53209,0.89366,0.96412,0.76794,0.92877,0.67669,1.30278,1.32533,1.13894,0.000962515,0.000962515,0.000962515
29,20.0113,0.93814,1.55845,0.89221,0.8412,0.9082,0.92943,0.65772,1.37641,1.28858,1.16193,0.000957015,0.000957015,0.000957015
30,20.6639,0.96598,1.61456,0.92185,0.85783,0.86206,0.93489,0.68307,1.34953,1.20513,1.20574,0.000951516,0.000951516,0.000951516
31,21.3259,0.94047,1.46715,0.89702,0.96657,0.82618,0.94443,0.7051,1.34919,1.30208,1.20965,0.000946016,0.000946016,0.000946016
32,21.9819,0.87617,1.27333,0.89613,0.96814,0.86832,0.96704,0.70297,1.39062,1.31093,1.16632,0.000940517,0.000940517,0.000940517
33,22.6282,0.87052,1.29017,0.87171,1,0.88425,0.97507,0.7003,1.40907,1.35057,1.17111,0.000935018,0.000935018,0.000935018
34,23.2667,0.95618,1.45841,0.91973,1,0.87355,0.96562,0.70646,1.33474,1.12173,1.15789,0.000929518,0.000929518,0.000929518
35,23.9247,0.87098,1.16735,0.88927,0.88304,0.8,0.92787,0.69276,1.18313,1.10133,1.08179,0.000924019,0.000924019,0.000924019
36,24.5715,0.94547,1.28583,0.90106,0.90798,0.88571,0.94231,0.70432,1.11829,1.2108,1.05594,0.000918519,0.000918519,0.000918519
37,25.2009,0.86107,1.22,0.89607,0.88456,0.87586,0.94247,0.70529,1.13555,1.17768,1.05786,0.00091302,0.00091302,0.00091302
38,25.8525,0.88901,1.19685,0.91914,0.91332,0.90331,0.94806,0.68087,1.13829,1.09611,1.08918,0.00090752,0.00090752,0.00090752
39,26.4952,0.83871,1.14914,0.89285,0.90849,0.77143,0.91119,0.65269,1.16547,1.26357,1.08493,0.000902021,0.000902021,0.000902021
40,27.146,0.86529,1.17715,0.87984,1,0.8198,0.92788,0.6675,1.23813,1.20961,1.11475,0.000896521,0.000896521,0.000896521
41,27.7723,0.91974,1.17042,0.87608,0.9675,0.85083,0.9499,0.68646,1.29957,1.19787,1.13392,0.000891022,0.000891022,0.000891022
42,28.4122,0.90055,1.08635,0.87016,0.96867,0.88339,0.9633,0.68491,1.43434,1.22736,1.15063,0.000885523,0.000885523,0.000885523
43,29.0449,0.89352,1.20411,0.8861,1,0.82321,0.95733,0.66601,1.37488,1.43193,1.11225,0.000880023,0.000880023,0.000880023
44,29.683,0.86021,1.12796,0.87713,0.9749,0.85714,0.9652,0.69407,1.33826,1.26938,1.11595,0.000874524,0.000874524,0.000874524
45,30.3153,0.90935,1.2007,0.89441,0.96826,0.85714,0.97007,0.69033,1.2919,1.14433,1.09613,0.000869024,0.000869024,0.000869024
46,30.9605,0.81044,1.04657,0.88255,0.94173,0.92376,0.97427,0.65339,1.42708,0.97507,1.13328,0.000863525,0.000863525,0.000863525
47,31.6012,0.95164,1.28931,0.87224,1,0.96558,0.98193,0.70446,1.27978,0.89553,1.11189,0.000858025,0.000858025,0.000858025
48,32.2594,0.81848,1.09206,0.85381,1,0.94186,0.97965,0.71682,1.34407,0.90219,1.11996,0.000852526,0.000852526,0.000852526
