epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.40589,2.59426,5.64485,1.50242,0,0,0,0,2.01049,4.63593,1.16442,0.0002,0.0002,0.0002
2,4.12112,2.2183,4.04059,1.20787,0.00067,0.06122,0.00482,0.00369,1.78827,4.2812,1.1523,0.00040797,0.00040797,0.00040797
3,5.87203,1.90691,2.95852,1.13692,0.0012,0.09592,0.07842,0.04949,1.69805,3.93649,1.11925,0.000613862,0.000613862,0.000613862
4,7.60142,1.80214,2.46087,1.11036,1,0.01809,0.29219,0.16162,1.77975,3.28205,1.09442,0.000817674,0.000817674,0.000817674
5,9.26625,1.71805,2.13488,1.07664,0.9695,0.21562,0.4761,0.25799,1.64804,2.62571,1.0799,0.0009802,0.0009802,0.0009802
6,10.9163,1.72427,2.08903,1.10079,0.94793,0.31542,0.48625,0.28114,1.61092,2.25319,1.05817,0.00097525,0.00097525,0.00097525
7,12.5723,1.61114,1.84925,1.05687,0.7923,0.45654,0.57616,0.3317,1.54345,1.71989,1.02841,0.0009703,0.0009703,0.0009703
8,14.2787,1.58188,1.67231,1.04382,0.70192,0.45686,0.52492,0.31449,1.56284,1.55787,1.06555,0.00096535,0.00096535,0.00096535
9,15.9134,1.5432,1.60994,1.04808,0.85053,0.42977,0.55961,0.34311,1.55532,1.65567,1.04464,0.0009604,0.0009604,0.0009604
10,17.5495,1.42736,1.46811,1.01255,0.80616,0.55299,0.63685,0.35761,1.53099,1.54324,1.04125,0.00095545,0.00095545,0.00095545
11,19.2115,1.45311,1.45339,1.0186,0.66493,0.5039,0.58105,0.32814,1.56289,1.55714,1.04148,0.0009505,0.0009505,0.0009505
12,20.8811,1.42754,1.36434,1.01706,0.7372,0.65161,0.74782,0.39954,1.57288,1.2069,1.04506,0.00094555,0.00094555,0.00094555
13,22.6039,1.38317,1.30151,0.99584,0.7198,0.74323,0.75663,0.44451,1.43802,1.06632,1.00445,0.0009406,0.0009406,0.0009406
14,24.2888,1.33828,1.21825,0.96739,0.85934,0.71964,0.7722,0.45025,1.38233,1.1183,0.99003,0.00093565,0.00093565,0.00093565
15,25.9664,1.32729,1.19588,0.98294,0.80173,0.72412,0.76722,0.44271,1.40808,1.03634,0.99627,0.0009307,0.0009307,0.0009307
16,27.662,1.28182,1.11337,0.9676,0.78526,0.71489,0.77457,0.44948,1.37689,0.96282,1.00329,0.00092575,0.00092575,0.00092575
17,29.2781,1.28804,1.1441,0.97002,0.83244,0.67911,0.75045,0.41249,1.42165,0.92121,1.00718,0.0009208,0.0009208,0.0009208
18,30.9145,1.29739,1.09436,0.97207,0.87175,0.68835,0.75778,0.43758,1.36092,0.95467,0.99048,0.00091585,0.00091585,0.00091585
19,32.5423,1.29035,1.07384,0.97049,0.81769,0.7206,0.76597,0.45103,1.37591,0.97376,0.99613,0.0009109,0.0009109,0.0009109
20,34.1888,1.24102,1.01316,0.96591,0.84508,0.75453,0.83758,0.43827,1.39155,0.8831,1.00128,0.00090595,0.00090595,0.00090595
21,35.8156,1.18639,0.95709,0.94631,0.85758,0.71083,0.80828,0.46624,1.34039,0.87194,0.98645,0.000901,0.000901,0.000901
22,37.4755,1.24197,1.00199,0.96672,0.81938,0.77075,0.84671,0.48958,1.29789,0.86966,0.96993,0.00089605,0.00089605,0.00089605
23,39.1344,1.24141,0.99176,0.96025,0.87387,0.76043,0.81954,0.47073,1.34172,0.85592,0.97519,0.0008911,0.0008911,0.0008911
24,40.772,1.20914,0.93645,0.93467,0.83514,0.75255,0.82256,0.48202,1.30554,0.8531,0.97108,0.00088615,0.00088615,0.00088615
